,decades,name,number
0,00s,Aadan,18
1,00s,Aadarsh,5
2,00s,Aaden,2285
3,00s,Aadhya,11
4,00s,Aadi,205
5,00s,Aadil,5
6,00s,Aadin,5
7,00s,Aadit,12
8,00s,Aaditya,78
9,00s,Aadya,14
10,00s,Aadyn,39
11,00s,Aahan,14
12,00s,Aahana,19
13,00s,Aahil,37
14,00s,Aaiden,36
15,00s,Aakash,116
16,00s,Aalayah,18
17,00s,Aaleyah,35
18,00s,Aalia,5
19,00s,Aaliah,148
20,00s,Aalijah,5
21,00s,Aaliya,153
22,00s,Aaliyah,36278
23,00s,Aaliyha,22
24,00s,Aalliyah,5
25,00s,Aalyah,130
26,00s,Aalyiah,61
27,00s,Aaminah,5
28,00s,Aamir,224
29,00s,Aamiyah,5
30,00s,Aamori,5
31,00s,Aanika,22
32,00s,Aaniyah,314
33,00s,Aanya,504
34,00s,Aaralyn,224
35,00s,Aarav,750
36,00s,Aaren,44
37,00s,Aariana,6
38,00s,Aaric,5
39,00s,Aarin,13
40,00s,Aarion,11
41,00s,Aariyah,17
42,00s,Aariz,42
43,00s,Aarna,49
44,00s,Aarnav,24
45,00s,Aarohi,17
46,00s,Aaron,86964
47,00s,Aaronjames,11
48,00s,Aaronjoshua,5
49,00s,Aarron,6
50,00s,Aarush,339
51,00s,Aarushi,163
52,00s,Aarya,136
53,00s,Aaryan,258
54,00s,Aaryn,23
55,00s,Aasha,5
56,00s,Aashi,49
57,00s,Aashna,81
58,00s,Aashritha,5
59,00s,Aasia,5
60,00s,Aasim,6
61,00s,Aasiyah,76
62,00s,Aastha,61
63,00s,Aayan,257
64,00s,Aayden,60
65,00s,Aayush,270
66,00s,Aayushi,6
67,00s,Ab,89
68,00s,Abagail,2303
69,00s,Abaigeal,5
70,00s,Abanoub,6
71,00s,Abbagail,37
72,00s,Abbas,195
73,00s,Abbey,4546
74,00s,Abbi,150
75,00s,Abbie,4260
76,00s,Abbiegail,5
77,00s,Abbigail,5589
78,00s,Abbigale,512
79,00s,Abbigayle,166
80,00s,Abby,17068
81,00s,Abbye,5
82,00s,Abbygail,1047
83,00s,Abbygale,74
84,00s,Abbygayle,18
85,00s,Abcde,141
86,00s,Abdalla,6
87,00s,Abdallah,179
88,00s,Abdel,20
89,00s,Abdelrahman,60
90,00s,Abdi,6
91,00s,Abdias,29
92,00s,Abdiel,929
93,00s,Abdifatah,6
94,00s,Abdimalik,21
95,00s,Abdinasir,5
96,00s,Abdirahman,407
97,00s,Abdirizak,6
98,00s,Abdo,5
99,00s,Abdon,6
100,00s,Abdou,21
101,00s,Abdoul,83
102,00s,Abdoulaye,142
103,00s,Abdoulie,5
104,00s,Abdul,1024
105,00s,Abdulahi,83
106,00s,Abdulai,5
107,00s,Abdulaziz,23
108,00s,Abdulla,19
109,00s,Abdullah,1724
110,00s,Abdullahi,299
111,00s,Abdulrahman,296
112,00s,Abdur,16
113,00s,Abdurrahman,75
114,00s,Abe,116
115,00s,Abeer,12
116,00s,Abegail,26
117,00s,Abel,7982
118,00s,Abelardo,395
119,00s,Abelino,22
120,00s,Abella,29
121,00s,Abena,18
122,00s,Abeni,10
123,00s,Abhay,55
124,00s,Abhijot,5
125,00s,Abhinav,556
126,00s,Abhiram,108
127,00s,Abhishek,134
128,00s,Abi,11
129,00s,Abid,17
130,00s,Abie,6
131,00s,Abiel,148
132,00s,Abigael,245
133,00s,Abigaelle,11
134,00s,Abigail,150946
135,00s,Abigaile,16
136,00s,Abigal,21
137,00s,Abigale,2267
138,00s,Abigayl,5
139,00s,Abigayle,2835
140,00s,Abilene,64
141,00s,Abimael,131
142,00s,Abisai,160
143,00s,Able,11
144,00s,Abner,927
145,00s,Abou,11
146,00s,Aboubacar,76
147,00s,Aboubakar,6
148,00s,Abra,5
149,00s,Abraham,19550
150,00s,Abrahan,147
151,00s,Abrahim,21
152,00s,Abrahm,22
153,00s,Abram,3134
154,00s,Abran,246
155,00s,Abrar,57
156,00s,Abree,15
157,00s,Abria,54
158,00s,Abrian,10
159,00s,Abriana,567
160,00s,Abrianna,1351
161,00s,Abrie,5
162,00s,Abriel,10
163,00s,Abriella,49
164,00s,Abrielle,601
165,00s,Abril,3305
166,00s,Absidy,6
167,00s,Abu,24
168,00s,Abubakar,22
169,00s,Abubakr,6
170,00s,Aby,5
171,00s,Abygail,675
172,00s,Abygale,6
173,00s,Acacia,505
174,00s,Acadia,34
175,00s,Access,6
176,00s,Ace,1269
177,00s,Acelyn,6
178,00s,Acelynn,5
179,00s,Achilles,365
180,00s,Acxel,5
181,00s,Ada,2899
182,00s,Adael,17
183,00s,Adah,65
184,00s,Adain,19
185,00s,Adair,292
186,00s,Adal,82
187,00s,Adalay,5
188,00s,Adalberto,512
189,00s,Adalee,94
190,00s,Adaleigh,15
191,00s,Adali,55
192,00s,Adalia,154
193,00s,Adalie,84
194,00s,Adalin,5
195,00s,Adalina,47
